model_family,optimizer,baseline,treatment_run_id,baseline_run_id,stage,fraction,task,treatment_ndcg_at_10,baseline_ndcg_at_10,delta
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,SCIDOCS,0.14364,0.14681,-0.003170000000000006
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,SciFact,0.87778,0.86402,0.013759999999999994
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,TRECCOVID,0.83256,0.83012,0.0024399999999999977
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,2,0.4,Touche2020,0.3439,0.3467,-0.0028000000000000247
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,ArguAna,0.56615,0.56731,-0.0011599999999999389
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,ClimateFEVER,0.40899,0.39934,0.009650000000000047
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,DBPedia,0.2769,0.27616,0.0007399999999999629
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,FEVER,0.91894,0.91637,0.002569999999999961
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,FiQA2018,0.54704,0.54382,0.0032200000000000006
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,HotpotQA,0.67368,0.67178,0.0018999999999999018
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,MSMARCO,0.56946,0.56545,0.004009999999999958
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,NFCorpus,0.28734,0.28775,-0.00041000000000002146
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,NQ,0.93964,0.92545,0.014190000000000036
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,QuoraRetrieval,0.9123,0.91176,0.0005399999999999849
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,SCIDOCS,0.1474,0.14696,0.00043999999999999595
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,SciFact,0.8775,0.87243,0.005069999999999908
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,TRECCOVID,0.82689,0.82785,-0.0009599999999999609
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,3,0.6,Touche2020,0.32497,0.32104,0.003929999999999989
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,ArguAna,0.55195,0.5529,-0.0009499999999998954
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,ClimateFEVER,0.41516,0.41085,0.0043099999999999805
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,DBPedia,0.27964,0.27603,0.003610000000000002
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,FEVER,0.92083,0.91864,0.0021900000000000253
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,FiQA2018,0.54994,0.5371,0.012839999999999963
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,HotpotQA,0.67733,0.67493,0.0023999999999999577
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,MSMARCO,0.57141,0.56732,0.004089999999999927
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,NFCorpus,0.28376,0.28805,-0.0042899999999999605
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,NQ,0.93964,0.92545,0.014190000000000036
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,QuoraRetrieval,0.91336,0.91179,0.0015699999999999603
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,SCIDOCS,0.14723,0.14771,-0.0004800000000000082
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,SciFact,0.87919,0.88115,-0.0019599999999999618
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,TRECCOVID,0.82148,0.81964,0.0018399999999999528
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,4,0.8,Touche2020,0.32795,0.32106,0.006890000000000007
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,ArguAna,0.56201,0.56,0.0020099999999999563
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,ClimateFEVER,0.41037,0.40586,0.004510000000000014
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,DBPedia,0.27901,0.27755,0.0014599999999999613
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,FEVER,0.92251,0.92053,0.001980000000000093
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,FiQA2018,0.54474,0.5421,0.0026399999999999757
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,HotpotQA,0.67866,0.67496,0.0037000000000000366
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,MSMARCO,0.57118,0.56796,0.0032200000000000006
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,NFCorpus,0.28401,0.28744,-0.0034299999999999886
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,NQ,0.93964,0.92545,0.014190000000000036
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,QuoraRetrieval,0.91306,0.9118,0.0012599999999999278
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,SCIDOCS,0.14696,0.14774,-0.0007800000000000029
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,SciFact,0.87919,0.8804,-0.0012099999999999334
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,TRECCOVID,0.83006,0.83044,-0.00037999999999993594
dense,muon,adamw,muon-lr3e-4,adamw-lr3e-5,5,1.0,Touche2020,0.33093,0.32591,0.0050200000000000244
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,1,0.2,ArguAna,0.58415,0.58446,-0.00031000000000003247
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,1,0.2,ClimateFEVER,0.38016,0.3708,0.00935999999999998
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,1,0.2,DBPedia,0.27095,0.26996,0.0009900000000000464
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,1,0.2,FEVER,0.91471,0.91022,0.004489999999999994
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,1,0.2,FiQA2018,0.51478,0.50736,0.007419999999999982
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,1,0.2,HotpotQA,0.66927,0.67123,-0.0019599999999999618
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,1,0.2,MSMARCO,0.55377,0.55495,-0.0011800000000000699
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,1,0.2,NFCorpus,0.28668,0.28671,-3.0000000000030003e-05
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,1,0.2,NQ,0.92545,0.92545,0.0
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,1,0.2,QuoraRetrieval,0.915,0.91385,0.0011499999999999844
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,1,0.2,SCIDOCS,0.15126,0.14891,0.0023500000000000187
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,1,0.2,SciFact,0.89061,0.88021,0.010399999999999965
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,1,0.2,TRECCOVID,0.83197,0.83024,0.0017300000000000093
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,1,0.2,Touche2020,0.34461,0.33498,0.009630000000000027
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,2,0.4,ArguAna,0.56713,0.56495,0.0021800000000000708
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,2,0.4,ClimateFEVER,0.41248,0.40626,0.006220000000000003
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,2,0.4,DBPedia,0.27397,0.27463,-0.0006599999999999939
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,2,0.4,FEVER,0.91971,0.91497,0.0047400000000000775
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,2,0.4,FiQA2018,0.53391,0.53532,-0.0014100000000000223
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,2,0.4,HotpotQA,0.67377,0.67488,-0.0011100000000000554
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,2,0.4,MSMARCO,0.56529,0.5635,0.0017899999999999583
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,2,0.4,NFCorpus,0.28693,0.28919,-0.0022599999999999842
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,2,0.4,NQ,0.93964,0.92545,0.014190000000000036
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,2,0.4,QuoraRetrieval,0.91129,0.91135,-5.999999999994898e-05
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,2,0.4,SCIDOCS,0.14588,0.14681,-0.0009299999999999864
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,2,0.4,SciFact,0.87982,0.86402,0.015800000000000036
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,2,0.4,TRECCOVID,0.83426,0.83012,0.0041400000000000325
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,2,0.4,Touche2020,0.34666,0.3467,-3.999999999998449e-05
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,3,0.6,ArguAna,0.56565,0.56731,-0.0016599999999999948
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,3,0.6,ClimateFEVER,0.41285,0.39934,0.013510000000000022
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,3,0.6,DBPedia,0.27892,0.27616,0.0027599999999999847
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,3,0.6,FEVER,0.92029,0.91637,0.003920000000000035
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,3,0.6,FiQA2018,0.55269,0.54382,0.008870000000000045
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,3,0.6,HotpotQA,0.67352,0.67178,0.0017399999999999638
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,3,0.6,MSMARCO,0.56745,0.56545,0.0020000000000000018
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,3,0.6,NFCorpus,0.28723,0.28775,-0.0005200000000000204
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,3,0.6,NQ,0.93964,0.92545,0.014190000000000036
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,3,0.6,QuoraRetrieval,0.91331,0.91176,0.0015499999999999403
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,3,0.6,SCIDOCS,0.14668,0.14696,-0.00028000000000000247
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,3,0.6,SciFact,0.8775,0.87243,0.005069999999999908
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,3,0.6,TRECCOVID,0.82786,0.82785,1.0000000000065512e-05
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,3,0.6,Touche2020,0.33174,0.32104,0.010699999999999987
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,ArguAna,0.55285,0.5529,-4.999999999999449e-05
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,ClimateFEVER,0.42052,0.41085,0.009670000000000012
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,DBPedia,0.27869,0.27603,0.0026599999999999957
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,FEVER,0.92249,0.91864,0.00385000000000002
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,FiQA2018,0.54575,0.5371,0.008649999999999936
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,HotpotQA,0.67644,0.67493,0.0015100000000000113
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,MSMARCO,0.56931,0.56732,0.0019899999999999363
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,NFCorpus,0.28844,0.28805,0.00039000000000000146
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,NQ,0.93964,0.92545,0.014190000000000036
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,QuoraRetrieval,0.91134,0.91179,-0.00044999999999995044
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,SCIDOCS,0.14689,0.14771,-0.0008200000000000152
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,SciFact,0.88071,0.88115,-0.00043999999999999595
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,TRECCOVID,0.83085,0.81964,0.011209999999999942
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,4,0.8,Touche2020,0.33722,0.32106,0.016160000000000008
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,ArguAna,0.56166,0.56,0.0016599999999999948
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,ClimateFEVER,0.41402,0.40586,0.00816
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,DBPedia,0.28106,0.27755,0.0035099999999999576
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,FEVER,0.92348,0.92053,0.002950000000000008
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,FiQA2018,0.54895,0.5421,0.006850000000000023
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,HotpotQA,0.67766,0.67496,0.0027000000000000357
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,MSMARCO,0.57072,0.56796,0.0027599999999999847
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,NFCorpus,0.28622,0.28744,-0.0012199999999999989
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,NQ,0.93964,0.92545,0.014190000000000036
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,QuoraRetrieval,0.91318,0.9118,0.0013799999999999368
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,SCIDOCS,0.14837,0.14774,0.0006299999999999917
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,SciFact,0.87919,0.8804,-0.0012099999999999334
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,TRECCOVID,0.82966,0.83044,-0.0007800000000000029
dense,normuon,adamw,normuon-lr3e-4,adamw-lr3e-5,5,1.0,Touche2020,0.3342,0.32591,0.00829000000000002
